Kind_of_Business,period,value
Electronics and appliance stores,1996-03-01,6009.0
Electronics and appliance stores,1996-05-01,5914.0
Electronics and appliance stores,1996-11-01,6928.0
Electronics and appliance stores,1996-10-01,6074.0
Electronics and appliance stores,1996-09-01,5936.0
Electronics stores,1996-04-01,0.0
Electronics stores,1996-08-01,0.0
Electronics stores,1996-12-01,0.0
Electronics stores,1996-02-01,0.0
Electronics stores,1996-01-01,0.0
Electronics stores,1996-07-01,0.0
Electronics stores,1996-06-01,0.0
Electronics stores,1996-03-01,0.0
Electronics stores,1996-05-01,0.0
Electronics stores,1996-11-01,0.0
Electronics stores,1996-10-01,0.0
Electronics stores,1996-09-01,0.0
Family clothing stores,1996-04-01,3175.0
Family clothing stores,1996-08-01,3851.0
Family clothing stores,1996-12-01,6197.0
Family clothing stores,1996-02-01,2627.0
Family clothing stores,1996-01-01,2262.0
Family clothing stores,1996-07-01,3192.0
Family clothing stores,1996-06-01,3155.0
Family clothing stores,1996-03-01,3194.0
Family clothing stores,1996-05-01,3275.0
Family clothing stores,1996-11-01,4339.0
Family clothing stores,1996-10-01,3659.0
Family clothing stores,1996-09-01,3333.0
Floor covering stores,1996-04-01,1225.0
Floor covering stores,1996-08-01,1322.0
Floor covering stores,1996-12-01,1249.0
Floor covering stores,1996-02-01,1006.0
Floor covering stores,1996-01-01,1039.0
Floor covering stores,1996-07-01,1303.0
Floor covering stores,1996-06-01,1211.0
Floor covering stores,1996-03-01,1135.0
Floor covering stores,1996-05-01,1242.0
Floor covering stores,1996-11-01,1292.0
Floor covering stores,1996-10-01,1371.0
Floor covering stores,1996-09-01,1244.0
Food and beverage stores,1996-04-01,32158.0
Food and beverage stores,1996-08-01,34841.0
Food and beverage stores,1996-12-01,36460.0
Food and beverage stores,1996-02-01,30778.0
Food and beverage stores,1996-01-01,31733.0
Food and beverage stores,1996-07-01,34426.0
Food and beverage stores,1996-06-01,33452.0
Food and beverage stores,1996-03-01,33060.0
Food and beverage stores,1996-05-01,34382.0
Food and beverage stores,1996-11-01,34045.0
Food and beverage stores,1996-10-01,33524.0
Food and beverage stores,1996-09-01,32214.0
Food services and drinking places,1996-04-01,19832.0
Food services and drinking places,1996-08-01,21792.0
Food services and drinking places,1996-12-01,20603.0
Food services and drinking places,1996-02-01,18439.0
Food services and drinking places,1996-01-01,17647.0
Food services and drinking places,1996-07-01,20971.0
Food services and drinking places,1996-06-01,20669.0
Food services and drinking places,1996-03-01,20259.0
Food services and drinking places,1996-05-01,21139.0
Food services and drinking places,1996-11-01,20332.0
Food services and drinking places,1996-10-01,20736.0
Food services and drinking places,1996-09-01,19826.0
Fuel dealers,1996-04-01,1731.0
Fuel dealers,1996-08-01,1286.0
Fuel dealers,1996-12-01,2650.0
Fuel dealers,1996-02-01,2569.0
Fuel dealers,1996-01-01,2865.0
Fuel dealers,1996-07-01,1237.0
Fuel dealers,1996-06-01,1191.0
Fuel dealers,1996-03-01,2223.0
Fuel dealers,1996-05-01,1458.0
Fuel dealers,1996-11-01,2053.0
Fuel dealers,1996-10-01,1853.0
Fuel dealers,1996-09-01,1447.0
Full service restaurants,1996-04-01,8469.0
Full service restaurants,1996-08-01,9513.0
Full service restaurants,1996-12-01,8888.0
Full service restaurants,1996-02-01,7911.0
Full service restaurants,1996-01-01,7503.0
Full service restaurants,1996-07-01,8944.0
Full service restaurants,1996-06-01,8682.0
Full service restaurants,1996-03-01,8650.0
Full service restaurants,1996-05-01,8941.0
Full service restaurants,1996-11-01,8972.0
Full service restaurants,1996-10-01,8998.0
Full service restaurants,1996-09-01,8642.0
Furniture and home furnishings stores,1996-04-01,5310.0
Furniture and home furnishings stores,1996-08-01,5893.0
Furniture and home furnishings stores,1996-12-01,6734.0
Furniture and home furnishings stores,1996-02-01,4833.0
Furniture and home furnishings stores,1996-01-01,4788.0
Furniture and home furnishings stores,1996-07-01,5673.0
Furniture and home furnishings stores,1996-06-01,5479.0
Furniture and home furnishings stores,1996-03-01,5410.0
Furniture and home furnishings stores,1996-05-01,5603.0
Furniture and home furnishings stores,1996-11-01,6425.0
Furniture and home furnishings stores,1996-10-01,5970.0
Furniture and home furnishings stores,1996-09-01,5589.0
Furniture stores,1996-04-01,3127.0
Furniture stores,1996-08-01,3358.0
Furniture stores,1996-12-01,3649.0
Furniture stores,1996-02-01,2960.0
Furniture stores,1996-01-01,2884.0
Furniture stores,1996-07-01,3242.0
Furniture stores,1996-06-01,3205.0
Furniture stores,1996-03-01,3270.0
Furniture stores,1996-05-01,3278.0
Furniture stores,1996-11-01,3619.0
Furniture stores,1996-10-01,3344.0
Furniture stores,1996-09-01,3232.0
"Furniture, home furn, electronics, and appliance stores",1996-04-01,10925.0
"Furniture, home furn, electronics, and appliance stores",1996-08-01,12151.0
"Furniture, home furn, electronics, and appliance stores",1996-12-01,16848.0
"Furniture, home furn, electronics, and appliance stores",1996-02-01,10431.0
"Furniture, home furn, electronics, and appliance stores",1996-01-01,10614.0
"Furniture, home furn, electronics, and appliance stores",1996-07-01,11564.0
"Furniture, home furn, electronics, and appliance stores",1996-06-01,11376.0
"Furniture, home furn, electronics, and appliance stores",1996-03-01,11419.0
"Furniture, home furn, electronics, and appliance stores",1996-05-01,11517.0
"Furniture, home furn, electronics, and appliance stores",1996-11-01,13353.0
"Furniture, home furn, electronics, and appliance stores",1996-10-01,12044.0
"Furniture, home furn, electronics, and appliance stores",1996-09-01,11525.0
Gasoline stations,1996-04-01,16024.0
Gasoline stations,1996-08-01,17271.0
Gasoline stations,1996-12-01,16575.0
Gasoline stations,1996-02-01,14159.0
Gasoline stations,1996-01-01,14473.0
Gasoline stations,1996-07-01,17039.0
Gasoline stations,1996-06-01,16957.0
Gasoline stations,1996-03-01,15616.0
Gasoline stations,1996-05-01,17428.0
Gasoline stations,1996-11-01,16237.0
Gasoline stations,1996-10-01,16671.0
Gasoline stations,1996-09-01,15975.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",1996-04-01,51479.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",1996-08-01,58714.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",1996-12-01,94583.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",1996-02-01,45999.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",1996-01-01,43533.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",1996-07-01,52522.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",1996-06-01,53585.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",1996-03-01,51526.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",1996-05-01,55557.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",1996-11-01,65498.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",1996-10-01,56556.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",1996-09-01,53061.0
General merchandise stores,1996-04-01,23755.0
General merchandise stores,1996-08-01,26711.0
General merchandise stores,1996-12-01,44464.0
General merchandise stores,1996-02-01,20786.0
General merchandise stores,1996-01-01,18968.0
General merchandise stores,1996-07-01,24073.0
General merchandise stores,1996-06-01,25149.0
General merchandise stores,1996-03-01,23572.0
General merchandise stores,1996-05-01,26154.0
General merchandise stores,1996-11-01,31144.0
General merchandise stores,1996-10-01,26366.0
General merchandise stores,1996-09-01,24163.0
"Gift, novelty, and souvenir stores",1996-04-01,1002.0
"Gift, novelty, and souvenir stores",1996-08-01,1293.0
"Gift, novelty, and souvenir stores",1996-12-01,2886.0
"Gift, novelty, and souvenir stores",1996-02-01,973.0
"Gift, novelty, and souvenir stores",1996-01-01,756.0
"Gift, novelty, and souvenir stores",1996-07-01,1261.0
"Gift, novelty, and souvenir stores",1996-06-01,1115.0
"Gift, novelty, and souvenir stores",1996-03-01,900.0
"Gift, novelty, and souvenir stores",1996-05-01,1204.0
"Gift, novelty, and souvenir stores",1996-11-01,1581.0
"Gift, novelty, and souvenir stores",1996-10-01,1224.0
"Gift, novelty, and souvenir stores",1996-09-01,1102.0
Grocery stores,1996-04-01,29344.0
Grocery stores,1996-08-01,31747.0
Grocery stores,1996-12-01,32454.0
Grocery stores,1996-02-01,28191.0
Grocery stores,1996-01-01,29172.0
Grocery stores,1996-07-01,31377.0
Grocery stores,1996-06-01,30470.0
Grocery stores,1996-03-01,30245.0
Grocery stores,1996-05-01,31364.0
Grocery stores,1996-11-01,31014.0
Grocery stores,1996-10-01,30674.0
Grocery stores,1996-09-01,29495.0
Hardware stores,1996-04-01,1247.0
Hardware stores,1996-08-01,1182.0
Hardware stores,1996-12-01,1224.0
Hardware stores,1996-02-01,916.0
Hardware stores,1996-01-01,974.0
Hardware stores,1996-07-01,1238.0
Hardware stores,1996-06-01,1303.0
Hardware stores,1996-03-01,1025.0
Hardware stores,1996-05-01,1364.0
Hardware stores,1996-11-01,1172.0
Hardware stores,1996-10-01,1183.0
Hardware stores,1996-09-01,1079.0
Health and personal care stores,1996-04-01,8904.0
Health and personal care stores,1996-08-01,9182.0
Health and personal care stores,1996-12-01,11302.0
Health and personal care stores,1996-02-01,8510.0
Health and personal care stores,1996-01-01,8401.0
Health and personal care stores,1996-07-01,9079.0
Health and personal care stores,1996-06-01,8818.0
Health and personal care stores,1996-03-01,8964.0
Health and personal care stores,1996-05-01,9366.0
Health and personal care stores,1996-11-01,9132.0
Health and personal care stores,1996-10-01,9288.0
Health and personal care stores,1996-09-01,8611.0
"Hobby, toy, and game stores",1996-04-01,862.0
"Hobby, toy, and game stores",1996-08-01,874.0
"Hobby, toy, and game stores",1996-12-01,4073.0
"Hobby, toy, and game stores",1996-02-01,737.0
"Hobby, toy, and game stores",1996-01-01,705.0
"Hobby, toy, and game stores",1996-07-01,877.0
"Hobby, toy, and game stores",1996-06-01,849.0
"Hobby, toy, and game stores",1996-03-01,890.0
"Hobby, toy, and game stores",1996-05-01,669.0
"Hobby, toy, and game stores",1996-11-01,2002.0
"Hobby, toy, and game stores",1996-10-01,1094.0
"Hobby, toy, and game stores",1996-09-01,870.0
Home furnishings stores,1996-04-01,2183.0
Home furnishings stores,1996-08-01,2535.0
Home furnishings stores,1996-12-01,3085.0
Home furnishings stores,1996-02-01,1873.0
Home furnishings stores,1996-01-01,1904.0
Home furnishings stores,1996-07-01,2431.0
Home furnishings stores,1996-06-01,2274.0
Home furnishings stores,1996-03-01,2140.0
Home furnishings stores,1996-05-01,2325.0
Home furnishings stores,1996-11-01,2806.0
Home furnishings stores,1996-10-01,2626.0
Home furnishings stores,1996-09-01,2357.0
Household appliance stores,1996-04-01,802.0
Household appliance stores,1996-08-01,899.0
Household appliance stores,1996-12-01,1100.0
Household appliance stores,1996-02-01,699.0
Household appliance stores,1996-01-01,748.0
Household appliance stores,1996-07-01,855.0
Household appliance stores,1996-06-01,853.0
Household appliance stores,1996-03-01,784.0
Household appliance stores,1996-05-01,858.0
Household appliance stores,1996-11-01,944.0
Household appliance stores,1996-10-01,856.0
Household appliance stores,1996-09-01,817.0
Jewelry stores,1996-04-01,1347.0
Jewelry stores,1996-08-01,1466.0
Jewelry stores,1996-12-01,4464.0
Jewelry stores,1996-02-01,1428.0
Jewelry stores,1996-01-01,1036.0
Jewelry stores,1996-07-01,1366.0
Jewelry stores,1996-06-01,1397.0
Jewelry stores,1996-03-01,1306.0
Jewelry stores,1996-05-01,1755.0
Jewelry stores,1996-11-01,1830.0
Jewelry stores,1996-10-01,1451.0
Jewelry stores,1996-09-01,1323.0
Limited service eating places,1996-04-01,8731.0
Limited service eating places,1996-08-01,9451.0
Limited service eating places,1996-12-01,8925.0
Limited service eating places,1996-02-01,8068.0
Limited service eating places,1996-01-01,7835.0
Limited service eating places,1996-07-01,9335.0
Limited service eating places,1996-06-01,9303.0
Limited service eating places,1996-03-01,8913.0
Limited service eating places,1996-05-01,9403.0
Limited service eating places,1996-11-01,8611.0
Limited service eating places,1996-10-01,8942.0
Limited service eating places,1996-09-01,8519.0
Men's clothing stores,1996-04-01,718.0
Men's clothing stores,1996-08-01,761.0
Men's clothing stores,1996-12-01,1420.0
Men's clothing stores,1996-02-01,651.0
Men's clothing stores,1996-01-01,639.0
Men's clothing stores,1996-07-01,660.0
Men's clothing stores,1996-06-01,759.0
Men's clothing stores,1996-03-01,708.0
Men's clothing stores,1996-05-01,774.0
Men's clothing stores,1996-11-01,919.0
Men's clothing stores,1996-10-01,793.0
Men's clothing stores,1996-09-01,744.0
Miscellaneous store retailers,1996-04-01,6509.0
Miscellaneous store retailers,1996-08-01,7244.0
Miscellaneous store retailers,1996-12-01,9379.0
Miscellaneous store retailers,1996-02-01,5945.0
Miscellaneous store retailers,1996-01-01,5367.0
Miscellaneous store retailers,1996-07-01,7082.0
Miscellaneous store retailers,1996-06-01,7041.0
Miscellaneous store retailers,1996-03-01,5950.0
Miscellaneous store retailers,1996-05-01,7520.0
Miscellaneous store retailers,1996-11-01,7036.0
Miscellaneous store retailers,1996-10-01,7017.0
Miscellaneous store retailers,1996-09-01,6729.0
Motor vehicle and parts dealers,1996-04-01,54096.0
Motor vehicle and parts dealers,1996-08-01,55481.0
Motor vehicle and parts dealers,1996-12-01,46238.0
Motor vehicle and parts dealers,1996-02-01,49575.0
Motor vehicle and parts dealers,1996-01-01,44859.0
Motor vehicle and parts dealers,1996-07-01,55071.0
Motor vehicle and parts dealers,1996-06-01,54914.0
Motor vehicle and parts dealers,1996-03-01,55636.0
Motor vehicle and parts dealers,1996-05-01,58150.0
Motor vehicle and parts dealers,1996-11-01,48137.0
Motor vehicle and parts dealers,1996-10-01,54229.0
Motor vehicle and parts dealers,1996-09-01,51121.0
New car dealers,1996-04-01,42745.0
New car dealers,1996-08-01,44020.0
New car dealers,1996-12-01,37103.0
New car dealers,1996-02-01,40087.0
New car dealers,1996-01-01,36390.0
New car dealers,1996-07-01,43833.0
New car dealers,1996-06-01,43649.0
New car dealers,1996-03-01,44798.0
New car dealers,1996-05-01,46525.0
New car dealers,1996-11-01,38484.0
New car dealers,1996-10-01,43454.0
New car dealers,1996-09-01,41252.0
Nonstore retailers,1996-04-01,9182.0
Nonstore retailers,1996-08-01,8470.0
Nonstore retailers,1996-12-01,13900.0
Nonstore retailers,1996-02-01,9417.0
Nonstore retailers,1996-01-01,9546.0
Nonstore retailers,1996-07-01,8210.0
Nonstore retailers,1996-06-01,8118.0
Nonstore retailers,1996-03-01,9777.0
Nonstore retailers,1996-05-01,8881.0
Nonstore retailers,1996-11-01,12024.0
Nonstore retailers,1996-10-01,11008.0
Nonstore retailers,1996-09-01,9228.0
Office supplies and stationery stores,1996-04-01,1131.0
Office supplies and stationery stores,1996-08-01,1436.0
Office supplies and stationery stores,1996-12-01,1594.0
Office supplies and stationery stores,1996-02-01,1297.0
Office supplies and stationery stores,1996-01-01,1371.0
Office supplies and stationery stores,1996-07-01,1256.0
Office supplies and stationery stores,1996-06-01,1105.0
Office supplies and stationery stores,1996-03-01,1184.0
Office supplies and stationery stores,1996-05-01,1235.0
Office supplies and stationery stores,1996-11-01,1337.0
Office supplies and stationery stores,1996-10-01,1332.0
Office supplies and stationery stores,1996-09-01,1314.0
"Office supplies, stationery, and gift stores",1996-04-01,2133.0
"Office supplies, stationery, and gift stores",1996-08-01,2729.0
"Office supplies, stationery, and gift stores",1996-12-01,4480.0
"Office supplies, stationery, and gift stores",1996-02-01,2270.0
"Office supplies, stationery, and gift stores",1996-01-01,2127.0
"Office supplies, stationery, and gift stores",1996-07-01,2517.0
"Office supplies, stationery, and gift stores",1996-06-01,2220.0
"Office supplies, stationery, and gift stores",1996-03-01,2084.0
"Office supplies, stationery, and gift stores",1996-05-01,2439.0
"Office supplies, stationery, and gift stores",1996-11-01,2918.0
"Office supplies, stationery, and gift stores",1996-10-01,2556.0
"Office supplies, stationery, and gift stores",1996-09-01,2416.0
Other clothing stores,1996-04-01,0.0
Other clothing stores,1996-08-01,0.0
Other clothing stores,1996-12-01,0.0
Other clothing stores,1996-02-01,0.0
Other clothing stores,1996-01-01,0.0
Other clothing stores,1996-07-01,0.0
Other clothing stores,1996-06-01,0.0
Other clothing stores,1996-03-01,0.0
Other clothing stores,1996-05-01,0.0
Other clothing stores,1996-11-01,0.0
Other clothing stores,1996-10-01,0.0
Other clothing stores,1996-09-01,0.0
Other general merchandise stores,1996-04-01,7798.0
Other general merchandise stores,1996-08-01,8779.0
Other general merchandise stores,1996-12-01,12845.0
Other general merchandise stores,1996-02-01,7018.0
Other general merchandise stores,1996-01-01,6669.0
Other general merchandise stores,1996-07-01,8305.0
Other general merchandise stores,1996-06-01,8494.0
Other general merchandise stores,1996-03-01,7764.0
Other general merchandise stores,1996-05-01,8700.0
Other general merchandise stores,1996-11-01,9755.0
Other general merchandise stores,1996-10-01,8904.0
Other general merchandise stores,1996-09-01,8071.0
Paint and wallpaper stores,1996-04-01,0.0
Paint and wallpaper stores,1996-08-01,0.0
Paint and wallpaper stores,1996-12-01,0.0
Paint and wallpaper stores,1996-02-01,0.0
Paint and wallpaper stores,1996-01-01,0.0
Paint and wallpaper stores,1996-07-01,0.0
Paint and wallpaper stores,1996-06-01,0.0
Paint and wallpaper stores,1996-03-01,0.0
Paint and wallpaper stores,1996-05-01,0.0
Paint and wallpaper stores,1996-11-01,0.0
Paint and wallpaper stores,1996-10-01,0.0
Paint and wallpaper stores,1996-09-01,0.0
Pharmacies and drug stores,1996-04-01,7425.0
Pharmacies and drug stores,1996-08-01,7629.0
Pharmacies and drug stores,1996-12-01,9701.0
Pharmacies and drug stores,1996-02-01,7190.0
Pharmacies and drug stores,1996-01-01,7134.0
Pharmacies and drug stores,1996-07-01,7484.0
Pharmacies and drug stores,1996-06-01,7264.0
Pharmacies and drug stores,1996-03-01,7510.0
Pharmacies and drug stores,1996-05-01,7755.0
Pharmacies and drug stores,1996-11-01,7699.0
Pharmacies and drug stores,1996-10-01,7811.0
Pharmacies and drug stores,1996-09-01,7208.0
Restaurants and other eating places,1996-04-01,17200.0
Restaurants and other eating places,1996-08-01,18964.0
Restaurants and other eating places,1996-12-01,17813.0
Restaurants and other eating places,1996-02-01,15979.0
Restaurants and other eating places,1996-01-01,15338.0
Restaurants and other eating places,1996-07-01,18279.0
Restaurants and other eating places,1996-06-01,17985.0
Restaurants and other eating places,1996-03-01,17563.0
Restaurants and other eating places,1996-05-01,18344.0
Restaurants and other eating places,1996-11-01,17583.0
Restaurants and other eating places,1996-10-01,17940.0
Restaurants and other eating places,1996-09-01,17161.0
"Retail and food services sales, total",1996-04-01,211718.0
"Retail and food services sales, total",1996-08-01,226062.0
"Retail and food services sales, total",1996-12-01,258081.0
"Retail and food services sales, total",1996-02-01,192380.0
"Retail and food services sales, total",1996-01-01,185019.0
"Retail and food services sales, total",1996-07-01,218111.0
"Retail and food services sales, total",1996-06-01,217511.0
"Retail and food services sales, total",1996-03-01,212110.0
"Retail and food services sales, total",1996-05-01,226936.0
"Retail and food services sales, total",1996-11-01,223953.0
"Retail and food services sales, total",1996-10-01,222663.0
"Retail and food services sales, total",1996-09-01,209250.0
Retail sales and food services excl gasoline stations,1996-04-01,195694.0
Retail sales and food services excl gasoline stations,1996-08-01,208791.0
Retail sales and food services excl gasoline stations,1996-12-01,241506.0
Retail sales and food services excl gasoline stations,1996-02-01,178221.0
Retail sales and food services excl gasoline stations,1996-01-01,170546.0
Retail sales and food services excl gasoline stations,1996-07-01,201072.0
Retail sales and food services excl gasoline stations,1996-06-01,200554.0
Retail sales and food services excl gasoline stations,1996-03-01,196494.0
Retail sales and food services excl gasoline stations,1996-05-01,209508.0
Retail sales and food services excl gasoline stations,1996-11-01,207716.0
Retail sales and food services excl gasoline stations,1996-10-01,205992.0
Retail sales and food services excl gasoline stations,1996-09-01,193275.0
Retail sales and food services excl motor vehicle and parts,1996-04-01,157622.0
Retail sales and food services excl motor vehicle and parts,1996-08-01,170581.0
Retail sales and food services excl motor vehicle and parts,1996-12-01,211843.0
Retail sales and food services excl motor vehicle and parts,1996-02-01,142805.0
Retail sales and food services excl motor vehicle and parts,1996-01-01,140160.0
Retail sales and food services excl motor vehicle and parts,1996-07-01,163040.0
Retail sales and food services excl motor vehicle and parts,1996-06-01,162597.0
Retail sales and food services excl motor vehicle and parts,1996-03-01,156474.0
Retail sales and food services excl motor vehicle and parts,1996-05-01,168786.0
Retail sales and food services excl motor vehicle and parts,1996-11-01,175816.0
Retail sales and food services excl motor vehicle and parts,1996-10-01,168434.0
Retail sales and food services excl motor vehicle and parts,1996-09-01,158129.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,1996-04-01,141598.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,1996-08-01,153310.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,1996-12-01,195268.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,1996-02-01,128646.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,1996-01-01,125687.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,1996-07-01,146001.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,1996-06-01,145640.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,1996-03-01,140858.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,1996-05-01,151358.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,1996-11-01,159579.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,1996-10-01,151763.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,1996-09-01,142154.0
"Retail sales, total",1996-04-01,191886.0
"Retail sales, total",1996-08-01,204270.0
"Retail sales, total",1996-12-01,237478.0
"Retail sales, total",1996-02-01,173941.0
"Retail sales, total",1996-01-01,167372.0
"Retail sales, total",1996-07-01,197140.0
"Retail sales, total",1996-06-01,196842.0
"Retail sales, total",1996-03-01,191851.0
"Retail sales, total",1996-05-01,205797.0
"Retail sales, total",1996-11-01,203621.0
"Retail sales, total",1996-10-01,201927.0
"Retail sales, total",1996-09-01,189424.0
"Retail sales, total (excl. motor vehicle and parts dealers)",1996-04-01,137790.0
"Retail sales, total (excl. motor vehicle and parts dealers)",1996-08-01,148789.0
"Retail sales, total (excl. motor vehicle and parts dealers)",1996-12-01,191240.0
"Retail sales, total (excl. motor vehicle and parts dealers)",1996-02-01,124366.0
"Retail sales, total (excl. motor vehicle and parts dealers)",1996-01-01,122513.0
"Retail sales, total (excl. motor vehicle and parts dealers)",1996-07-01,142069.0
"Retail sales, total (excl. motor vehicle and parts dealers)",1996-06-01,141928.0
"Retail sales, total (excl. motor vehicle and parts dealers)",1996-03-01,136215.0
"Retail sales, total (excl. motor vehicle and parts dealers)",1996-05-01,147647.0
"Retail sales, total (excl. motor vehicle and parts dealers)",1996-11-01,155484.0
"Retail sales, total (excl. motor vehicle and parts dealers)",1996-10-01,147698.0
"Retail sales, total (excl. motor vehicle and parts dealers)",1996-09-01,138303.0
Shoe stores,1996-04-01,1857.0
Shoe stores,1996-08-01,2228.0
Shoe stores,1996-12-01,2232.0
Shoe stores,1996-02-01,1414.0
Shoe stores,1996-01-01,1245.0
Shoe stores,1996-07-01,1738.0
Shoe stores,1996-06-01,1764.0
Shoe stores,1996-03-01,1757.0
Shoe stores,1996-05-01,1889.0
Shoe stores,1996-11-01,1778.0
Shoe stores,1996-10-01,1657.0
Shoe stores,1996-09-01,1676.0
Sporting goods stores,1996-04-01,1702.0
Sporting goods stores,1996-08-01,1992.0
Sporting goods stores,1996-12-01,2675.0
Sporting goods stores,1996-02-01,1309.0
Sporting goods stores,1996-01-01,1327.0
Sporting goods stores,1996-07-01,1833.0
Sporting goods stores,1996-06-01,1895.0
Sporting goods stores,1996-03-01,1649.0
Sporting goods stores,1996-05-01,1773.0
Sporting goods stores,1996-11-01,1608.0
Sporting goods stores,1996-10-01,1453.0
Sporting goods stores,1996-09-01,1594.0
"Sporting goods, hobby, musical instrument, and book stores",1996-04-01,4096.0
"Sporting goods, hobby, musical instrument, and book stores",1996-08-01,4989.0
"Sporting goods, hobby, musical instrument, and book stores",1996-12-01,8847.0
"Sporting goods, hobby, musical instrument, and book stores",1996-02-01,3521.0
"Sporting goods, hobby, musical instrument, and book stores",1996-01-01,4140.0
"Sporting goods, hobby, musical instrument, and book stores",1996-07-01,4166.0
"Sporting goods, hobby, musical instrument, and book stores",1996-06-01,4286.0
"Sporting goods, hobby, musical instrument, and book stores",1996-03-01,4102.0
"Sporting goods, hobby, musical instrument, and book stores",1996-05-01,4042.0
"Sporting goods, hobby, musical instrument, and book stores",1996-11-01,5208.0
"Sporting goods, hobby, musical instrument, and book stores",1996-10-01,4340.0
"Sporting goods, hobby, musical instrument, and book stores",1996-09-01,4334.0
Supermarkets and other grocery (except convenience) stores,1996-04-01,0.0
Supermarkets and other grocery (except convenience) stores,1996-08-01,0.0
Supermarkets and other grocery (except convenience) stores,1996-12-01,0.0
Supermarkets and other grocery (except convenience) stores,1996-02-01,0.0
Supermarkets and other grocery (except convenience) stores,1996-01-01,0.0
Supermarkets and other grocery (except convenience) stores,1996-07-01,0.0
Supermarkets and other grocery (except convenience) stores,1996-06-01,0.0
Supermarkets and other grocery (except convenience) stores,1996-03-01,0.0
Supermarkets and other grocery (except convenience) stores,1996-05-01,0.0
Supermarkets and other grocery (except convenience) stores,1996-11-01,0.0
Supermarkets and other grocery (except convenience) stores,1996-10-01,0.0
Supermarkets and other grocery (except convenience) stores,1996-09-01,0.0
Used car dealers,1996-04-01,3879.0
Used car dealers,1996-08-01,3511.0
Used car dealers,1996-12-01,3006.0
Used car dealers,1996-02-01,3451.0
Used car dealers,1996-01-01,2871.0
Used car dealers,1996-07-01,3571.0
Used car dealers,1996-06-01,3538.0
Used car dealers,1996-03-01,4046.0
Used car dealers,1996-05-01,3727.0
Used car dealers,1996-11-01,3262.0
Used car dealers,1996-10-01,3526.0
Used car dealers,1996-09-01,3221.0
Used merchandise stores,1996-04-01,598.0
Used merchandise stores,1996-08-01,611.0
Used merchandise stores,1996-12-01,705.0
Used merchandise stores,1996-02-01,481.0
Used merchandise stores,1996-01-01,481.0
Used merchandise stores,1996-07-01,591.0
Used merchandise stores,1996-06-01,618.0
Used merchandise stores,1996-03-01,578.0
Used merchandise stores,1996-05-01,744.0
Used merchandise stores,1996-11-01,630.0
Used merchandise stores,1996-10-01,631.0
Used merchandise stores,1996-09-01,588.0
Warehouse clubs and superstores,1996-04-01,5474.0
Warehouse clubs and superstores,1996-08-01,6244.0
Warehouse clubs and superstores,1996-12-01,9019.0
Warehouse clubs and superstores,1996-02-01,4915.0
Warehouse clubs and superstores,1996-01-01,4758.0
Warehouse clubs and superstores,1996-07-01,5913.0
Warehouse clubs and superstores,1996-06-01,6027.0
Warehouse clubs and superstores,1996-03-01,5432.0
Warehouse clubs and superstores,1996-05-01,6125.0
Warehouse clubs and superstores,1996-11-01,6993.0
Warehouse clubs and superstores,1996-10-01,6371.0
Warehouse clubs and superstores,1996-09-01,5808.0
Women's clothing stores,1996-04-01,2346.0
Women's clothing stores,1996-08-01,2353.0
Women's clothing stores,1996-12-01,3665.0
Women's clothing stores,1996-02-01,1834.0
Women's clothing stores,1996-01-01,1565.0
Women's clothing stores,1996-07-01,2072.0
Women's clothing stores,1996-06-01,2375.0
Women's clothing stores,1996-03-01,2193.0
Women's clothing stores,1996-05-01,2552.0
Women's clothing stores,1996-11-01,2594.0
Women's clothing stores,1996-10-01,2413.0
Women's clothing stores,1996-09-01,2276.0
All other gen. merchandise stores,1995-04-01,2294.0
All other gen. merchandise stores,1995-08-01,2431.0
All other gen. merchandise stores,1995-12-01,3974.0
All other gen. merchandise stores,1995-02-01,1877.0
All other gen. merchandise stores,1995-01-01,1960.0
All other gen. merchandise stores,1995-07-01,2321.0
All other gen. merchandise stores,1995-06-01,2449.0
